Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
12.48.166.64/26,FACEBOOK90-166-64,NET-12-48-166-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-48-166-64-1,,
12.48.167.0/27,FACEBOOK23-167-0,NET-12-48-167-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-48-167-0-1,,
12.49.159.208/29,FACEBOOK38-159-208,NET-12-49-159-208-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-49-159-208-1,,
12.97.21.128/28,FACEBOOK75-21-128,NET-12-97-21-128-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-12-97-21-128-1,,
207.140.31.192/29,FACEBOOK83-31-192,NET-207-140-31-192-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-207-140-31-192-1,,
207.242.154.0/26,FACEBOOK15-154-0,NET-207-242-154-0-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-207-242-154-0-1,,
207.242.16.176/28,FACEBOOK52-16-176,NET-207-242-16-176-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-207-242-16-176-1,,
209.214.152.216/29,FACEBOOK81-152-216,NET-209-214-152-216-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-209-214-152-216-1,,
209.214.82.120/29,FACEBOOK71-82-120,NET-209-214-82-120-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-209-214-82-120-1,,
209.215.194.80/29,FACEBOOK85-194-80,NET-209-215-194-80-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-209-215-194-80-1,,
209.215.220.24/29,FACEBOOK53-220-24,NET-209-215-220-24-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-209-215-220-24-1,,
209.215.220.32/29,FACEBOOK12-220-32,NET-209-215-220-32-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-209-215-220-32-1,,
209.36.220.32/27,FACEBOOK31-220-32,NET-209-36-220-32-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-209-36-220-32-1,,
209.64.46.64/26,FACEBOOK52-46-64,NET-209-64-46-64-1,network,60,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-209-64-46-64-1,,
2001:1890:1828:cf00::/56,"FACEBOOK,INC",C07770693,customer,58,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07770693,"408 SOCIAL CIRCLE, FOREST CITY, United States, 28043-8822",
