Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
2a03:2887:ff4b::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff4d::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff4e::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff4f::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff50::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff51::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff52::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff53::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff55::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff58::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff59::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff60::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff63::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff64::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff66::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff67::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2a03:2887:ff68::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:10::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:11::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:12::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:3::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:5::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:9::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:c::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:e::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2c0f:ef78:f::/48,"Facebook, Inc.",AS63293,asn,85,"ASN, company name is name parameter",http://whois.arin.net/rest/asn/AS63293,,
2001:1890:1923:500::/56,"FACEBOOK, INCATTN AP PURCHAS",C07836437,customer,71,"Customer, address match from ARIN objects",http://whois.arin.net/rest/customer/C07836437,"408 SOCIAL CIRCLE, FOREST CITY, United States, 28043-8822",
2001:1890:1923:600::/56,"FACEBOOK, INCATTN AP PURCHAS",C07837415,customer,71,"Customer, address match from ARIN objects",http://whois.arin.net/rest/customer/C07837415,"408 SOCIAL CIRCLE, FOREST CITY, United States, 28043-8822",
2001:1890:1923:900::/56,"FACEBOOK, INCATTN AP PURCHAS",C07837118,customer,71,"Customer, address match from ARIN objects",http://whois.arin.net/rest/customer/C07837118,"408 SOCIAL CIRCLE, FOREST CITY, United States, 28043-8822",
12.219.196.8/29,"FACEBOOK, INCATTN AP PURCHAS",C10807451,customer,70,Customer,http://whois.arin.net/rest/customer/C10807451,"301 AIRPORT BL, BURL, United States, 94010",
128.177.77.152/30,Facebook Inc Corpnet,C08066717,customer,70,Customer,http://whois.arin.net/rest/customer/C08066717,"1 Facebook Way, Menlo Park, United States, 94025",
173.252.64.0/18,FACEBOOK-INC,NET-173-252-64-0-1,network,70,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET-173-252-64-0-1,,
2620:10d:c000::/40,FACEBOOK-CORP,NET6-2620-10D-C000-1,network,70,"Network, company name is name parameter",http://whois.arin.net/rest/net/NET6-2620-10D-C000-1,,
2001:1890:18f4:5e00::/56,"FACEBOOK TECHNOLOGIES, LLC",C07841088,customer,68,"Customer, no company name and extension match, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07841088,"6539 DUMBARTON CIR, FREMONT, United States, 94555",
2001:1890:18f4:5f00::/56,"FACEBOOK TECHNOLOGIES, LLC",C07842961,customer,68,"Customer, no company name and extension match, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07842961,"6539 DUMBARTON CIR, FREMONT, United States, 94555",
12.14.38.0/26,"FACEBOOK,INC",C08095736,customer,64,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C08095736,"1950 N STEMMONS FWY, DALLAS, United States, 75207",
12.14.38.64/26,"FACEBOOK,INC",C08095837,customer,64,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C08095837,"1950 N STEMMONS FWY, DALLAS, United States, 75207",
12.159.100.64/26,"FACEBOOK,INC",C08038478,customer,64,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C08038478,"1950 N STEMMONS FWY, DALLAS, United States, 75207",
2001:1890:1987::/56,"FACEBOOK,INC",C07879407,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879407,"50 NE 9TH STREET, MIAMI, United States, 33131",
2001:1890:198e:2400::/56,"FACEBOOK,INC",C07879427,customer,61,"Customer, no company name and extension match, alphabetic characters after company name, address match from ARIN objects (significant score increase)",http://whois.arin.net/rest/customer/C07879427,"50 NE 9TH STREET, MIAMI, United States, 33131",
