Network,Name,ID,Type,Confidence,Score Rationale,Resource URL,Registered Address,Geolocation Information
64.124.142.200/29,Microsoft Corporation,C07566338,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07566338,"3020 Coronado Dr, Santa Clara, United States, 95054",
64.124.142.224/29,Microsoft Corporation,C07567016,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07567016,"3020 Coronado Dr, Santa Clara, United States, 95054",
64.124.183.88/29,Microsoft Corporation,C07714302,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07714302,"2080 Lunt Ave, Elk Grove Village, United States, 60007",
64.124.43.176/29,Microsoft Corporation,C07668146,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07668146,"1515 Port Industrial Way, Quincy, United States, 98848",
64.124.50.128/26,Microsoft Corporation,C07012819,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07012819,"15580 NE 31st St Building B43, Redmond, United States, 98052",
64.124.73.192/29,Microsoft Corporation,C06953263,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C06953263,"10880 Airman Ave, Manassas, United States, 20110",
64.125.101.192/30,Microsoft Corporation,C09797983,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C09797983,"2117 M St NE, Quincy, United States, 98848",
64.125.128.64/26,Microsoft Corporation,C07014225,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C07014225,"15580 NE 31st St Building B43, Redmond, United States, 98052",
64.125.159.246/31,Microsoft Corporation,C11005051,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C11005051,"1435 Hwy 54 W, Fayetteville, United States, 30214",
64.125.159.252/31,Microsoft Corporation,C11005085,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C11005085,"1435 Hwy 54 W, Fayetteville, United States, 30214",
64.125.172.136/29,MICROSOFT CORPORATION,C02958347,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C02958347,"1100 Glendon Ave, Los Angeles, United States, 90024",
64.81.8.96/27,Microsoft Corporation,C01947877,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C01947877,"2001 6th Ave, Seattle, United States, 98122",
65.196.39.128/27,MICROSOFT CORPORATION,C04739631,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C04739631,"87 GALLERIA DR Suite L108, BUFFALO, United States, 14225",
65.198.124.160/27,MICROSOFT CORPORATION,C04619819,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C04619819,"1 MICROSOFT WAY, REDMOND, United States, 98052-8300",
65.205.34.208/29,MICROSOFT CORPORATION,C05063849,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05063849,"825 DULANEY VALLEY RD, TOWSON, United States, 21204-1010",
65.206.12.64/26,MICROSOFT CORPORATION,C06274915,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C06274915,"677 5TH AVE, NEW YORK, United States, 10022",
65.207.46.128/26,MICROSOFT CORPORATION,C05400702,customer,85,"Customer, company name is name parameter",http://whois.arin.net/rest/customer/C05400702,"7101 DEMOCRACY BLVD, SPC 2024, BETHESDA, United States, 20817-1065",
